,diames,diasemana,mestexto,año,valor
1999-01-04,4,lunes,enero,1999,10447.8
1999-01-05,5,martes,enero,1999,10650.7
1999-01-07,7,jueves,enero,1999,10443.4
1999-01-08,8,viernes,enero,1999,10412.3
1999-01-09,11,lunes,enero,1999,10248.6
1999-01-10,12,martes,enero,1999,10010.5
1999-01-11,13,miércoles,enero,1999,9321.7
1999-01-12,14,jueves,enero,1999,9304.2
1999-01-13,15,viernes,enero,1999,9596.3
1999-01-14,18,lunes,enero,1999,10071.5
1999-01-15,19,martes,enero,1999,9971.7
1999-01-16,20,miércoles,enero,1999,10090.1
1999-01-17,21,jueves,enero,1999,9920.8
1999-01-18,22,viernes,enero,1999,9612.0
1999-01-19,25,lunes,enero,1999,9665.6
1999-01-20,26,martes,enero,1999,9589.6
1999-01-21,27,miércoles,enero,1999,9609.5
1999-01-22,28,jueves,enero,1999,9832.2
1999-01-23,29,viernes,enero,1999,9878.8
1999-01-24,1,lunes,febrero,1999,9998.2
1999-01-25,2,martes,febrero,1999,9943.6
1999-01-26,3,miércoles,febrero,1999,9944.2
1999-01-27,4,jueves,febrero,1999,9855.4
1999-01-28,5,viernes,febrero,1999,9809.3
1999-01-29,8,lunes,febrero,1999,9648.8
1999-01-30,9,martes,febrero,1999,9500.0
1999-01-31,10,miércoles,febrero,1999,9656.7
1999-02-01,11,jueves,febrero,1999,9690.5
1999-02-02,12,viernes,febrero,1999,9739.4
1999-02-03,15,lunes,febrero,1999,9901.1
1999-02-04,16,martes,febrero,1999,9799.3
1999-02-05,17,miércoles,febrero,1999,9797.9
1999-02-06,18,jueves,febrero,1999,9758.7
1999-02-07,19,viernes,febrero,1999,9840.9
1999-02-08,22,lunes,febrero,1999,9945.2
1999-02-09,23,martes,febrero,1999,10133.8
1999-02-10,24,miércoles,febrero,1999,10224.6
1999-02-11,25,jueves,febrero,1999,10052.1
1999-02-12,26,viernes,febrero,1999,9997.3
1999-02-13,1,lunes,marzo,1999,9838.9
1999-02-14,2,martes,marzo,1999,9823.0
1999-02-15,3,miércoles,marzo,1999,9707.6
1999-02-16,4,jueves,marzo,1999,9834.3
1999-02-17,5,viernes,marzo,1999,10005.0
1999-02-18,8,lunes,marzo,1999,9861.4
1999-02-19,9,martes,marzo,1999,9915.3
1999-02-20,10,miércoles,marzo,1999,9940.1
1999-02-21,11,jueves,marzo,1999,10191.6
1999-02-22,12,viernes,marzo,1999,10094.7
1999-02-23,15,lunes,marzo,1999,10121.0
1999-02-24,16,martes,marzo,1999,10213.9
1999-02-25,17,miércoles,marzo,1999,10119.1
1999-02-26,18,jueves,marzo,1999,10039.7
1999-02-27,19,viernes,marzo,1999,10073.7
1999-02-28,22,lunes,marzo,1999,9955.1
1999-03-01,23,martes,marzo,1999,9728.4
1999-03-02,24,miércoles,marzo,1999,9720.7
1999-03-03,25,jueves,marzo,1999,9868.3
1999-03-04,26,viernes,marzo,1999,9659.1
1999-03-05,29,lunes,marzo,1999,9748.1
1999-03-06,30,martes,marzo,1999,9677.0
1999-03-07,31,miércoles,marzo,1999,9740.7
1999-03-11,6,martes,abril,1999,10011.3
1999-03-12,7,miércoles,abril,1999,10027.7
1999-03-13,8,jueves,abril,1999,10100.6
1999-03-14,9,viernes,abril,1999,10101.9
1999-03-15,12,lunes,abril,1999,10039.2
1999-03-16,13,martes,abril,1999,10120.8
1999-03-17,14,miércoles,abril,1999,10080.4
1999-03-18,15,jueves,abril,1999,10000.0
1999-03-19,16,viernes,abril,1999,9777.3
1999-03-20,19,lunes,abril,1999,9851.7
1999-03-21,20,martes,abril,1999,9662.0
1999-03-22,21,miércoles,abril,1999,9771.1
1999-03-23,22,jueves,abril,1999,9794.8
1999-03-24,23,viernes,abril,1999,9901.6
1999-03-25,26,lunes,abril,1999,9907.2
1999-03-26,27,martes,abril,1999,10069.9
1999-03-27,28,miércoles,abril,1999,10010.4
1999-03-28,29,jueves,abril,1999,10007.6
1999-03-29,30,viernes,abril,1999,9975.4
1999-03-30,3,lunes,mayo,1999,10090.8
1999-03-31,4,martes,mayo,1999,10019.2
1999-04-01,5,miércoles,mayo,1999,10012.1
1999-04-02,6,jueves,mayo,1999,10073.0
1999-04-03,7,viernes,mayo,1999,10155.0
1999-04-04,10,lunes,mayo,1999,10172.7
1999-04-05,11,martes,mayo,1999,10167.1
1999-04-06,12,miércoles,mayo,1999,10184.7
1999-04-07,13,jueves,mayo,1999,10275.0
1999-04-08,14,viernes,mayo,1999,10167.2
1999-04-09,17,lunes,mayo,1999,9966.1
1999-04-10,18,martes,mayo,1999,9984.8
1999-04-11,19,miércoles,mayo,1999,10174.4
1999-04-12,20,jueves,mayo,1999,10151.2
1999-04-13,21,viernes,mayo,1999,10213.7
1999-04-14,24,lunes,mayo,1999,10170.4
1999-04-15,25,martes,mayo,1999,10141.0
1999-04-16,26,miércoles,mayo,1999,10097.7
1999-04-17,27,jueves,mayo,1999,9990.9
1999-04-18,28,viernes,mayo,1999,10030.6
1999-04-19,31,lunes,mayo,1999,10072.3
1999-04-20,1,martes,junio,1999,10056.9
1999-04-21,2,miércoles,junio,1999,10068.8
1999-04-22,3,jueves,junio,1999,10221.5
1999-04-23,4,viernes,junio,1999,10244.7
1999-04-24,7,lunes,junio,1999,10280.2
1999-04-25,8,martes,junio,1999,10221.8
1999-04-26,9,miércoles,junio,1999,10242.8
1999-04-27,10,jueves,junio,1999,10096.2
1999-04-28,11,viernes,junio,1999,10195.3
1999-04-29,14,lunes,junio,1999,10100.0
1999-04-30,15,martes,junio,1999,10179.7
1999-05-01,16,miércoles,junio,1999,10190.8
1999-05-02,17,jueves,junio,1999,10195.0
1999-05-03,18,viernes,junio,1999,10337.5
1999-05-04,21,lunes,junio,1999,10382.7
1999-05-05,22,martes,junio,1999,10387.7
1999-05-06,23,miércoles,junio,1999,10380.7
1999-05-07,24,jueves,junio,1999,10333.6
1999-05-08,25,viernes,junio,1999,10290.3
1999-05-09,28,lunes,junio,1999,10291.1
1999-05-10,29,martes,junio,1999,10299.6
1999-05-11,30,miércoles,junio,1999,10218.6
1999-05-12,1,jueves,julio,1999,10370.5
1999-05-13,2,viernes,julio,1999,10402.3
1999-05-14,5,lunes,julio,1999,10555.6
1999-05-15,6,martes,julio,1999,10474.4
1999-05-16,7,miércoles,julio,1999,10402.8
1999-05-17,8,jueves,julio,1999,10311.3
1999-05-18,9,viernes,julio,1999,10333.2
1999-05-19,12,lunes,julio,1999,10311.9
1999-05-20,13,martes,julio,1999,10119.0
1999-05-21,14,miércoles,julio,1999,10009.3
1999-05-22,15,jueves,julio,1999,10134.6
1999-05-23,16,viernes,julio,1999,10119.2
1999-05-24,19,lunes,julio,1999,10190.9
1999-05-25,20,martes,julio,1999,10057.9
1999-05-26,21,miércoles,julio,1999,9999.8
1999-05-27,22,jueves,julio,1999,9896.1
1999-05-28,23,viernes,julio,1999,9771.6
1999-05-29,26,lunes,julio,1999,9684.9
1999-05-30,27,martes,julio,1999,9583.4
1999-05-31,28,miércoles,julio,1999,9571.5
1999-06-01,29,jueves,julio,1999,9292.6
1999-06-02,30,viernes,julio,1999,9391.9
1999-06-03,2,lunes,agosto,1999,9400.1
1999-06-04,3,martes,agosto,1999,9434.2
1999-06-05,4,miércoles,agosto,1999,9436.2
1999-06-06,5,jueves,agosto,1999,9194.5
1999-06-07,6,viernes,agosto,1999,9140.7
1999-06-08,9,lunes,agosto,1999,9335.7
1999-06-09,10,martes,agosto,1999,9230.2
1999-06-10,11,miércoles,agosto,1999,9360.4
1999-06-11,12,jueves,agosto,1999,9407.9
1999-06-12,13,viernes,agosto,1999,9561.7
1999-06-13,16,lunes,agosto,1999,9474.5
1999-06-14,17,martes,agosto,1999,9613.5
1999-06-15,18,miércoles,agosto,1999,9570.9
1999-06-16,19,jueves,agosto,1999,9569.3
1999-06-17,20,viernes,agosto,1999,9738.3
1999-06-18,23,lunes,agosto,1999,9730.0
1999-06-19,24,martes,agosto,1999,9861.7
1999-06-20,25,miércoles,agosto,1999,9941.4
1999-06-21,26,jueves,agosto,1999,9931.9
1999-06-22,27,viernes,agosto,1999,10058.4
1999-06-23,30,lunes,agosto,1999,10006.2
1999-06-24,31,martes,agosto,1999,9806.1
1999-06-25,1,miércoles,septiembre,1999,9903.6
1999-06-26,2,jueves,septiembre,1999,9694.0
1999-06-27,3,viernes,septiembre,1999,9943.1
1999-06-28,6,lunes,septiembre,1999,9975.4
1999-06-29,7,martes,septiembre,1999,9871.2
1999-06-30,8,miércoles,septiembre,1999,9891.6
1999-07-01,9,jueves,septiembre,1999,10028.0
1999-07-02,10,viernes,septiembre,1999,10026.6
1999-07-03,13,lunes,septiembre,1999,9919.0
1999-07-04,14,martes,septiembre,1999,9779.2
1999-07-05,15,miércoles,septiembre,1999,9728.6
1999-07-06,16,jueves,septiembre,1999,9645.7
1999-07-07,17,viernes,septiembre,1999,9728.2
1999-07-08,20,lunes,septiembre,1999,9722.8
1999-07-09,21,martes,septiembre,1999,9621.8
1999-07-10,22,miércoles,septiembre,1999,9655.0
1999-07-11,23,jueves,septiembre,1999,9720.4
1999-07-12,24,viernes,septiembre,1999,9617.7
1999-07-13,27,lunes,septiembre,1999,9707.8
1999-07-14,28,martes,septiembre,1999,9639.9
1999-07-15,29,miércoles,septiembre,1999,9552.5
1999-07-16,30,jueves,septiembre,1999,9525.4
1999-07-17,1,viernes,octubre,1999,9482.8
1999-07-18,4,lunes,octubre,1999,9601.0
1999-07-19,5,martes,octubre,1999,9656.3
1999-07-20,6,miércoles,octubre,1999,9624.7
1999-07-21,7,jueves,octubre,1999,9721.0
1999-07-22,8,viernes,octubre,1999,9770.9
1999-07-23,11,lunes,octubre,1999,9808.2
1999-07-25,13,miércoles,octubre,1999,9592.5
1999-07-26,14,jueves,octubre,1999,9548.9
1999-07-27,15,viernes,octubre,1999,9376.7
1999-07-28,18,lunes,octubre,1999,9290.8
1999-07-29,19,martes,octubre,1999,9413.4
1999-07-30,20,miércoles,octubre,1999,9405.6
1999-07-31,21,jueves,octubre,1999,9270.2
1999-08-01,22,viernes,octubre,1999,9389.4
1999-08-02,25,lunes,octubre,1999,9304.8
1999-08-03,26,martes,octubre,1999,9443.3
1999-08-04,27,miércoles,octubre,1999,9419.2
1999-08-05,28,jueves,octubre,1999,9610.3
1999-08-06,29,viernes,octubre,1999,9741.5
1999-08-08,2,martes,noviembre,1999,9847.9
1999-08-09,3,miércoles,noviembre,1999,9936.9
1999-08-10,4,jueves,noviembre,1999,10113.4
1999-08-11,5,viernes,noviembre,1999,10231.3
1999-08-12,8,lunes,noviembre,1999,10336.8
1999-08-13,9,martes,noviembre,1999,10260.1
1999-08-14,10,miércoles,noviembre,1999,10354.3
1999-08-15,11,jueves,noviembre,1999,10497.1
1999-08-16,12,viernes,noviembre,1999,10469.9
1999-08-17,15,lunes,noviembre,1999,10555.9
1999-08-18,16,martes,noviembre,1999,10619.7
1999-08-19,17,miércoles,noviembre,1999,10639.7
1999-08-20,18,jueves,noviembre,1999,10725.9
1999-08-21,19,viernes,noviembre,1999,10793.0
1999-08-22,22,lunes,noviembre,1999,10613.6
1999-08-23,23,martes,noviembre,1999,10685.1
1999-08-24,24,miércoles,noviembre,1999,10720.2
1999-08-25,25,jueves,noviembre,1999,10945.2
1999-08-26,26,viernes,noviembre,1999,10971.3
1999-08-27,29,lunes,noviembre,1999,10892.5
1999-08-28,30,martes,noviembre,1999,10958.1
1999-08-29,1,miércoles,diciembre,1999,11084.3
1999-08-30,2,jueves,diciembre,1999,11166.6
1999-08-31,3,viernes,diciembre,1999,11310.0
1999-09-02,7,martes,diciembre,1999,11549.6
1999-09-04,9,jueves,diciembre,1999,11560.1
1999-09-05,10,viernes,diciembre,1999,11434.5
1999-09-06,13,lunes,diciembre,1999,11465.8
1999-09-07,14,martes,diciembre,1999,11480.1
1999-09-08,15,miércoles,diciembre,1999,11372.5
1999-09-09,16,jueves,diciembre,1999,11427.1
1999-09-10,17,viernes,diciembre,1999,11613.1
1999-09-11,20,lunes,diciembre,1999,11673.1
1999-09-12,21,martes,diciembre,1999,11572.8
1999-09-13,22,miércoles,diciembre,1999,11585.5
1999-09-14,23,jueves,diciembre,1999,11686.6
1999-09-16,27,lunes,diciembre,1999,11615.7
1999-09-17,28,martes,diciembre,1999,11517.6
1999-09-18,29,miércoles,diciembre,1999,11581.4
1999-09-19,30,jueves,diciembre,1999,11641.4
1999-09-21,3,lunes,enero,2000,11610.0
1999-09-22,4,martes,enero,2000,11206.6
1999-09-23,5,miércoles,enero,2000,10863.1
1999-09-25,7,viernes,enero,2000,11102.4
1999-09-26,10,lunes,enero,2000,11173.3
1999-09-27,11,martes,enero,2000,11012.4
1999-09-28,12,miércoles,enero,2000,10851.8
1999-09-29,13,jueves,enero,2000,10931.9
1999-09-30,14,viernes,enero,2000,11184.0
1999-10-01,17,lunes,enero,2000,11285.6
1999-10-02,18,martes,enero,2000,11066.3
1999-10-03,19,miércoles,enero,2000,11120.7
1999-10-04,20,jueves,enero,2000,11047.6
1999-10-05,21,viernes,enero,2000,10969.3
1999-10-06,24,lunes,enero,2000,10955.0
1999-10-07,25,martes,enero,2000,10863.5
1999-10-08,26,miércoles,enero,2000,11031.4
1999-10-09,27,jueves,enero,2000,11206.6
1999-10-10,28,viernes,enero,2000,11009.3
1999-10-11,31,lunes,enero,2000,10835.1
1999-10-12,1,martes,febrero,2000,10970.0
1999-10-13,2,miércoles,febrero,2000,11195.6
1999-10-14,3,jueves,febrero,2000,11544.1
1999-10-15,4,viernes,febrero,2000,11580.1
1999-10-16,7,lunes,febrero,2000,11506.8
1999-10-17,8,martes,febrero,2000,11834.8
1999-10-18,9,miércoles,febrero,2000,11939.5
1999-10-19,10,jueves,febrero,2000,12020.6
1999-10-20,11,viernes,febrero,2000,12432.6
1999-10-21,14,lunes,febrero,2000,12458.6
1999-10-22,15,martes,febrero,2000,12165.1
1999-10-23,16,miércoles,febrero,2000,12235.1
1999-10-24,17,jueves,febrero,2000,12326.7
1999-10-25,18,viernes,febrero,2000,12368.0
1999-10-26,21,lunes,febrero,2000,12260.3
1999-10-27,22,martes,febrero,2000,12076.9
1999-10-28,23,miércoles,febrero,2000,12312.3
1999-10-29,24,jueves,febrero,2000,12352.3
1999-10-30,25,viernes,febrero,2000,12690.9
1999-10-31,28,lunes,febrero,2000,12467.0
1999-11-01,29,martes,febrero,2000,12585.8
1999-11-02,1,miércoles,marzo,2000,12538.7
1999-11-03,2,jueves,marzo,2000,12709.6
1999-11-04,3,viernes,marzo,2000,12745.0
1999-11-05,6,lunes,marzo,2000,12816.8
1999-11-06,7,martes,marzo,2000,12667.2
1999-11-07,8,miércoles,marzo,2000,12668.3
1999-11-08,9,jueves,marzo,2000,12563.2
1999-11-09,10,viernes,marzo,2000,12513.7
1999-11-10,13,lunes,marzo,2000,12359.7
1999-11-11,14,martes,marzo,2000,12555.8
1999-11-12,15,miércoles,marzo,2000,12279.5
1999-11-13,16,jueves,marzo,2000,12260.9
1999-11-14,17,viernes,marzo,2000,12369.8
1999-11-15,20,lunes,marzo,2000,12362.4
1999-11-16,21,martes,marzo,2000,12308.3
1999-11-17,22,miércoles,marzo,2000,12172.2
1999-11-18,23,jueves,marzo,2000,12073.3
1999-11-19,24,viernes,marzo,2000,12213.8
1999-11-20,27,lunes,marzo,2000,12162.0
1999-11-21,28,martes,marzo,2000,12211.1
1999-11-22,29,miércoles,marzo,2000,12088.6
1999-11-23,30,jueves,marzo,2000,11833.4
1999-11-24,31,viernes,marzo,2000,11935.0
1999-11-25,3,lunes,abril,2000,11686.4
1999-11-26,4,martes,abril,2000,11584.2
1999-11-27,5,miércoles,abril,2000,11374.6
1999-11-28,6,jueves,abril,2000,11607.9
1999-11-29,7,viernes,abril,2000,11790.6
1999-11-30,10,lunes,abril,2000,11768.7
1999-12-01,11,martes,abril,2000,11515.3
1999-12-02,12,miércoles,abril,2000,11542.1
1999-12-03,13,jueves,abril,2000,11647.2
1999-12-04,14,viernes,abril,2000,11363.9
1999-12-05,17,lunes,abril,2000,11217.3
1999-12-06,18,martes,abril,2000,11261.5
1999-12-07,19,miércoles,abril,2000,11339.8
1999-12-08,20,jueves,abril,2000,11502.0
1999-12-11,25,martes,abril,2000,11425.5
1999-12-12,26,miércoles,abril,2000,11481.5
1999-12-13,27,jueves,abril,2000,11273.0
1999-12-14,28,viernes,abril,2000,11467.9
1999-12-16,2,martes,mayo,2000,11867.2
1999-12-17,3,miércoles,mayo,2000,11667.9
1999-12-18,4,jueves,mayo,2000,11597.5
1999-12-19,5,viernes,mayo,2000,11560.9
1999-12-20,8,lunes,mayo,2000,11304.0
1999-12-21,9,martes,mayo,2000,11071.7
1999-12-22,10,miércoles,mayo,2000,10832.3
1999-12-23,11,jueves,mayo,2000,11036.3
1999-12-24,12,viernes,mayo,2000,11102.6
1999-12-25,15,lunes,mayo,2000,11009.3
1999-12-26,16,martes,mayo,2000,11220.7
1999-12-27,17,miércoles,mayo,2000,10905.3
1999-12-28,18,jueves,mayo,2000,10889.6
1999-12-29,19,viernes,mayo,2000,10544.9
1999-12-30,22,lunes,mayo,2000,10326.3
1999-12-31,23,martes,mayo,2000,10380.1
2000-01-01,24,miércoles,mayo,2000,10342.4
2000-01-02,25,jueves,mayo,2000,10560.6
2000-01-03,26,viernes,mayo,2000,10437.1
2000-01-04,29,lunes,mayo,2000,10558.9
2000-01-05,30,martes,mayo,2000,10648.5
2000-01-06,31,miércoles,mayo,2000,10688.5
2000-01-07,1,jueves,junio,2000,10875.5
2000-01-08,2,viernes,junio,2000,11141.5
2000-01-09,5,lunes,junio,2000,11004.2
2000-01-10,6,martes,junio,2000,10782.5
2000-01-11,7,miércoles,junio,2000,10688.9
2000-01-12,8,jueves,junio,2000,10799.6
2000-01-13,9,viernes,junio,2000,10873.2
2000-01-14,12,lunes,junio,2000,10791.3
2000-01-15,13,martes,junio,2000,10806.0
2000-01-16,14,miércoles,junio,2000,10880.7
2000-01-17,15,jueves,junio,2000,10876.0
2000-01-18,16,viernes,junio,2000,10723.8
2000-01-19,19,lunes,junio,2000,10595.6
2000-01-20,20,martes,junio,2000,10563.4
2000-01-21,21,miércoles,junio,2000,10351.4
2000-01-22,22,jueves,junio,2000,10490.5
2000-01-23,23,viernes,junio,2000,10533.1
2000-01-24,26,lunes,junio,2000,10488.9
2000-01-25,27,martes,junio,2000,10528.2
2000-01-26,28,miércoles,junio,2000,10583.2
2000-01-27,29,jueves,junio,2000,10366.4
2000-01-28,30,viernes,junio,2000,10581.3
2000-01-29,3,lunes,julio,2000,10676.7
2000-01-30,4,martes,julio,2000,10848.9
2000-01-31,5,miércoles,julio,2000,10757.6
2000-02-01,6,jueves,julio,2000,10739.6
2000-02-02,7,viernes,julio,2000,10896.7
2000-02-03,10,lunes,julio,2000,10828.9
2000-02-04,11,martes,julio,2000,10874.8
2000-02-05,12,miércoles,julio,2000,10878.7
2000-02-06,13,jueves,julio,2000,10848.2
2000-02-07,14,viernes,julio,2000,11002.6
2000-02-08,17,lunes,julio,2000,10949.2
2000-02-09,18,martes,julio,2000,10791.5
2000-02-10,19,miércoles,julio,2000,10850.7
2000-02-11,20,jueves,julio,2000,10986.1
2000-02-12,21,viernes,julio,2000,10879.6
2000-02-13,24,lunes,julio,2000,10831.5
2000-02-14,25,martes,julio,2000,10714.6
2000-02-15,26,miércoles,julio,2000,10743.8
2000-02-16,27,jueves,julio,2000,10726.0
2000-02-17,28,viernes,julio,2000,10560.0
2000-02-18,31,lunes,julio,2000,10531.6
2000-02-19,1,martes,agosto,2000,10549.0
2000-02-20,2,miércoles,agosto,2000,10644.5
2000-02-21,3,jueves,agosto,2000,10453.0
2000-02-22,4,viernes,agosto,2000,10583.4
2000-02-23,7,lunes,agosto,2000,10707.7
2000-02-24,8,martes,agosto,2000,10867.6
2000-02-25,9,miércoles,agosto,2000,10951.9
2000-02-26,10,jueves,agosto,2000,11110.6
2000-02-27,11,viernes,agosto,2000,11094.6
2000-02-28,14,lunes,agosto,2000,11210.6
2000-02-29,15,martes,agosto,2000,11207.9
2000-03-01,16,miércoles,agosto,2000,11342.7
2000-03-02,17,jueves,agosto,2000,11155.5
2000-03-03,18,viernes,agosto,2000,11065.5
2000-03-04,21,lunes,agosto,2000,11093.5
2000-03-05,22,martes,agosto,2000,10934.6
2000-03-06,23,miércoles,agosto,2000,10798.1
2000-03-07,24,jueves,agosto,2000,10720.1
2000-03-08,25,viernes,agosto,2000,10818.3
2000-03-09,28,lunes,agosto,2000,10907.5
2000-03-10,29,martes,agosto,2000,10840.6
2000-03-11,30,miércoles,agosto,2000,10869.6
2000-03-12,31,jueves,agosto,2000,10884.7
2000-03-13,1,viernes,septiembre,2000,11170.1
2000-03-14,4,lunes,septiembre,2000,11246.3
2000-03-15,5,martes,septiembre,2000,11188.2
2000-03-16,6,miércoles,septiembre,2000,11238.5
2000-03-17,7,jueves,septiembre,2000,11282.5
2000-03-18,8,viernes,septiembre,2000,11103.3
2000-03-19,11,lunes,septiembre,2000,11229.8
2000-03-20,12,martes,septiembre,2000,11311.8
2000-03-21,13,miércoles,septiembre,2000,11212.5
2000-03-22,14,jueves,septiembre,2000,11451.6
2000-03-23,15,viernes,septiembre,2000,11463.1
2000-03-24,18,lunes,septiembre,2000,11188.1
2000-03-25,19,martes,septiembre,2000,11065.5
2000-03-26,20,miércoles,septiembre,2000,10901.3
2000-03-27,21,jueves,septiembre,2000,10803.4
2000-03-28,22,viernes,septiembre,2000,11029.4
2000-03-29,25,lunes,septiembre,2000,11159.1
2000-03-30,26,martes,septiembre,2000,10956.0
2000-03-31,27,miércoles,septiembre,2000,10957.6
2000-04-01,28,jueves,septiembre,2000,11023.1
2000-04-02,29,viernes,septiembre,2000,10950.0
2000-04-03,2,lunes,octubre,2000,11152.5
2000-04-04,3,martes,octubre,2000,11271.2
2000-04-05,4,miércoles,octubre,2000,11159.3
2000-04-06,5,jueves,octubre,2000,11237.3
2000-04-07,6,viernes,octubre,2000,11150.0
2000-04-08,9,lunes,octubre,2000,10838.8
2000-04-09,10,martes,octubre,2000,10950.7
2000-04-10,11,miércoles,octubre,2000,10618.7
2000-04-12,13,viernes,octubre,2000,10385.4
2000-04-13,16,lunes,octubre,2000,10455.2
2000-04-14,17,martes,octubre,2000,10375.4
2000-04-15,18,miércoles,octubre,2000,10056.1
2000-04-16,19,jueves,octubre,2000,10367.3
2000-04-17,20,viernes,octubre,2000,10443.6
2000-04-18,23,lunes,octubre,2000,10329.9
2000-04-19,24,martes,octubre,2000,10666.9
2000-04-20,25,miércoles,octubre,2000,10517.4
2000-04-21,26,jueves,octubre,2000,10324.7
2000-04-22,27,viernes,octubre,2000,10395.7
2000-04-23,30,lunes,octubre,2000,10307.3
2000-04-24,31,martes,octubre,2000,10363.1
2000-04-26,2,jueves,noviembre,2000,10507.0
2000-04-27,3,viernes,noviembre,2000,10542.7
2000-04-28,6,lunes,noviembre,2000,10610.5
2000-04-29,7,martes,noviembre,2000,10573.6
2000-04-30,8,miércoles,noviembre,2000,10488.4
2000-05-01,9,jueves,noviembre,2000,10273.5
2000-05-02,10,viernes,noviembre,2000,9986.0
2000-05-03,13,lunes,noviembre,2000,9897.3
2000-05-04,14,martes,noviembre,2000,10274.8
2000-05-05,15,miércoles,noviembre,2000,10294.1
2000-05-06,16,jueves,noviembre,2000,10135.3
2000-05-07,17,viernes,noviembre,2000,9845.9
2000-05-08,20,lunes,noviembre,2000,9548.7
2000-05-09,21,martes,noviembre,2000,9594.0
2000-05-10,22,miércoles,noviembre,2000,9252.5
2000-05-11,23,jueves,noviembre,2000,9334.8
2000-05-12,24,viernes,noviembre,2000,9642.3
2000-05-13,27,lunes,noviembre,2000,9541.9
2000-05-14,28,martes,noviembre,2000,9358.0
2000-05-15,29,miércoles,noviembre,2000,9477.3
2000-05-16,30,jueves,noviembre,2000,9214.5
2000-05-17,1,viernes,diciembre,2000,9339.4
2000-05-18,4,lunes,diciembre,2000,9069.1
2000-05-19,5,martes,diciembre,2000,9461.1
2000-05-21,7,jueves,diciembre,2000,9497.3
2000-05-23,11,lunes,diciembre,2000,9788.1
2000-05-24,12,martes,diciembre,2000,9753.5
2000-05-25,13,miércoles,diciembre,2000,9716.9
2000-05-26,14,jueves,diciembre,2000,9518.3
2000-05-27,15,viernes,diciembre,2000,9155.7
2000-05-28,18,lunes,diciembre,2000,9052.8
2000-05-29,19,martes,diciembre,2000,9255.5
2000-05-30,20,miércoles,diciembre,2000,8864.3
2000-05-31,21,jueves,diciembre,2000,8964.2
2000-06-01,22,viernes,diciembre,2000,9039.0
2000-06-04,27,miércoles,diciembre,2000,9078.5
2000-06-05,28,jueves,diciembre,2000,9075.6
2000-06-06,29,viernes,diciembre,2000,9109.8
2000-06-08,2,martes,enero,2001,9080.2
2000-06-09,3,miércoles,enero,2001,9200.9
2000-06-10,4,jueves,enero,2001,9597.2
2000-06-11,5,viernes,enero,2001,9601.4
2000-06-12,8,lunes,enero,2001,9623.6
2000-06-13,9,martes,enero,2001,9581.8
2000-06-14,10,miércoles,enero,2001,9585.8
2000-06-15,11,jueves,enero,2001,9699.8
2000-06-16,12,viernes,enero,2001,9890.2
2000-06-17,15,lunes,enero,2001,9892.0
2000-06-18,16,martes,enero,2001,9722.4
2000-06-19,17,miércoles,enero,2001,10020.1
2000-06-20,18,jueves,enero,2001,10070.8
2000-06-21,19,viernes,enero,2001,9955.5
2000-06-22,22,lunes,enero,2001,10019.2
2000-06-23,23,martes,enero,2001,10100.4
2000-06-24,24,miércoles,enero,2001,10116.2
2000-06-25,25,jueves,enero,2001,10132.0
2000-06-26,26,viernes,enero,2001,10090.1
2000-06-27,29,lunes,enero,2001,9949.9
2000-06-28,30,martes,enero,2001,10036.2
2000-06-29,31,miércoles,enero,2001,10116.0
2000-06-30,1,jueves,febrero,2001,10123.0
2000-07-01,2,viernes,febrero,2001,9848.5
2000-07-02,5,lunes,febrero,2001,9846.7
2000-07-03,6,martes,febrero,2001,9934.8
2000-07-04,7,miércoles,febrero,2001,9880.7
2000-07-05,8,jueves,febrero,2001,10020.8
2000-07-06,9,viernes,febrero,2001,9936.3
2000-07-07,12,lunes,febrero,2001,10096.5
2000-07-08,13,martes,febrero,2001,10054.2
2000-07-09,14,miércoles,febrero,2001,9759.7
2000-07-10,15,jueves,febrero,2001,9865.3
2000-07-11,16,viernes,febrero,2001,9789.5
2000-07-12,19,lunes,febrero,2001,9861.3
2000-07-13,20,martes,febrero,2001,9680.5
2000-07-14,21,miércoles,febrero,2001,9592.1
2000-07-15,22,jueves,febrero,2001,9418.8
2000-07-16,23,viernes,febrero,2001,9344.8
2000-07-17,26,lunes,febrero,2001,9476.4
2000-07-18,27,martes,febrero,2001,9554.1
2000-07-19,28,miércoles,febrero,2001,9551.4
2000-07-20,1,jueves,marzo,2001,9486.1
2000-07-21,2,viernes,marzo,2001,9570.9
2000-07-22,5,lunes,marzo,2001,9688.1
2000-07-23,6,martes,marzo,2001,9892.1
2000-07-24,7,miércoles,marzo,2001,9923.3
2000-07-25,8,jueves,marzo,2001,9798.2
2000-07-26,9,viernes,marzo,2001,9726.6
2000-07-27,12,lunes,marzo,2001,9494.8
2000-07-28,13,martes,marzo,2001,9510.9
2000-07-29,14,miércoles,marzo,2001,9393.0
2000-07-30,15,jueves,marzo,2001,9476.3
2000-07-31,16,viernes,marzo,2001,9290.0
2000-08-01,19,lunes,marzo,2001,9251.3
2000-08-02,20,martes,marzo,2001,9216.7
2000-08-03,21,miércoles,marzo,2001,8899.8
2000-08-04,22,jueves,marzo,2001,8531.8
2000-08-05,23,viernes,marzo,2001,8810.5
2000-08-06,26,lunes,marzo,2001,9063.4
2000-08-07,27,martes,marzo,2001,9263.3
